Prozess;sector;WZ
Primäraluminiumelektrolyse;ind;24
Chlor-Alkali-Elektrolyse;ind;20
Holz- und Zellstoffherstellung;ind;17
Papiermaschinen;ind;17
Elektrostahlherstellung (Lichtbogenofen);ind;24
Zementherstellung;ind;23
Kupfer- und Zinkherstellung (Elektrolyse);ind;24
Altpapierrecycling (Pulper);ind;17
Gießereien (Induktionsofen);ind;24
Calciumcarbid-Herstellung (Lichtbogenofen);ind;20
Wärmepumpen;tcs+hoho;-1
Nachtspeicherheizungen;tcs+hoho;-1
Belüftung;ind;-1
Prozesskälte;ind;-1
Klimakälte;ind;-1
Prozesskälte;tcs;-1
Pumpenanwendungen in der Wasserversorgung;tcs;36
Beleuchtung;tcs;-1
Zerkleinerer;tcs;-1
Kühlschränke;hoho;0
Geschirrspüler;hoho;0
Wäschetrockner;hoho;0
Waschmaschinen;hoho;0
Warmwasserbereitstellung;tcs+hoho;-1
Gefrierschränke und -truhen;hoho;0
Heizungsumwälzpumpen;hoho;0
Klimakälte;tcs+hoho;-1
Kühlhäuser;tcs;-1
Druckluftanwendungen;ind;-1
Pumpenanwendungen;ind;-1
Kühl- und Gefrierkombinationen;hoho;0
Kühlung (Lebensmittelindustrie);ind;10
Prozesskälte Handel;tcs;47
Prozesswärme;tcs;-1
Luftzerlegung;ind;20
